DD,HH,Day,tripduration,end station latitude,end station longitude,AGE
1,1,5,3117,40.72217444,-73.98368779,29.0
1,1,5,690,40.71850211,-73.98329859,30.0
1,1,5,727,40.72165481,-74.00234737,33.0
1,6,5,698,40.744023,-73.976056,39.0
1,6,5,351,40.72456089,-73.99565293,56.0
1,7,5,597,40.73704984,-73.99009296,36.0
1,8,5,1248,40.74901271,-73.98848395,28.0
1,8,5,417,40.71910537,-73.99973337,24.0
1,8,5,454,40.72710258,-74.00297088,25.0
1,8,5,409,40.7262807,-73.98978041,34.0
1,8,5,384,40.7262807,-73.98978041,27.0
1,8,5,310,40.72502876,-73.99069656,25.0
1,9,5,272,40.722055,-73.989111,31.0
1,9,5,640,40.7218158,-73.99720307,44.0
1,9,5,631,40.73401143,-74.00293877,26.0
1,9,5,1158,40.73532427,-73.99800419,29.0
1,9,5,1153,40.73532427,-73.99800419,26.0
1,9,5,93,40.72453734,-73.98185424,58.0
1,9,5,1168,40.74096374,-73.98602213,46.0
1,9,5,1222,40.749156,-73.9916,37.0
1,9,5,1217,40.749156,-73.9916,32.0
1,9,5,2071,40.75299641,-73.98721619,52.0
1,9,5,412,40.72467721,-73.98783413,46.0
1,9,5,274,40.72467721,-73.98783413,46.0
1,9,5,485,40.72317958,-73.99480012,46.0
1,9,5,952,40.74096374,-73.98602213,48.0
1,9,5,895,40.7451677,-73.98683077,32.0
1,10,5,1217,40.74444921,-73.98303529,46.0
1,10,5,1224,40.74444921,-73.98303529,46.0
1,10,5,590,40.734232,-73.986923,48.0
1,10,5,671,40.73261787,-73.99158043,48.0
1,10,5,1311,40.75001986,-73.96905301,46.0
1,10,5,360,40.73221853,-73.98165557,29.0
1,10,5,1530,40.74444921,-73.98303529,28.0
1,10,5,519,40.71605866,-73.99190759,39.0
1,10,5,1041,40.73704984,-73.99009296,42.0
1,10,5,1023,40.746647,-73.993915,32.0
1,10,5,1154,40.72710258,-74.00297088,35.0
1,10,5,1476,40.71494807,-74.00234482,46.0
1,10,5,1392,40.71494807,-74.00234482,46.0
1,10,5,1330,40.71494807,-74.00234482,46.0
